date,city,state,injured,killed,lat,lng
3-Nov-16,Chicago,Illinois,2,2,41.8755546,-87.6244211
2-Nov-16,Little Rock,Arkansas,4,0,34.7464809,-92.2895947
1-Nov-16,Memphis,Tennessee,5,1,35.1490215,-90.0516284
31-Oct-16,Shreveport,Louisiana,4,0,32.5221828,-93.7651943
30-Oct-16,Toledo,Ohio,4,0,41.6786754,-83.5127282
30-Oct-16,Newburgh,New York,5,2,41.5034271,-74.0104178
30-Oct-16,New York (Manhattan),New York,4,0,40.7484357,-73.9856931
30-Oct-16,Capitol Heights,Maryland,4,2,38.8853963,-76.915944
30-Oct-16,San Antonio,Texas,5,0,29.4246002,-98.4951404
29-Oct-16,Dayton,Ohio,3,1,39.7589478,-84.1916068
29-Oct-16,Los Angeles,California,5,0,34.0543942,-118.2439408
29-Oct-16,Riverside,California,4,0,33.9533546,-117.3961622
28-Oct-16,Miami Gardens,Florida,4,0,25.9420755,-80.2397527
28-Oct-16,Jackson,Mississippi,6,0,32.4104385,-90.1620649
27-Oct-16,Mcdonough (Mc Donough),Georgia,0,4,33.44734,-84.14686
25-Oct-16,Dayton,Ohio,3,1,39.7589478,-84.1916068
25-Oct-16,Roanoke,Virginia,3,2,37.270973,-79.9414312
23-Oct-16,Wellston,Oklahoma,5,1,35.6942278,-97.0633629
22-Oct-16,Oakland,California,7,0,37.8044557,-122.2713562
18-Oct-16,San Francisco,California,4,0,37.7792808,-122.4192362
17-Oct-16,Chicago (Englewood),Illinois,4,1,41.7790752,-87.6684426
15-Oct-16,Mobile,Alabama,5,0,30.6943566,-88.043054
15-Oct-16,Los Angeles,California,11,4,34.0543942,-118.2439408
15-Oct-16,Rockford,Illinois,5,1,42.2713945,-89.0939659
14-Oct-16,Chicago,Illinois,6,1,41.8755546,-87.6244211
13-Oct-16,Chicago,Illinois,4,0,41.8755546,-87.6244211
9-Oct-16,Grand Rapids,Michigan,8,1,42.9632405,-85.6678638
9-Oct-16,Sacramento,California,3,1,38.5815719,-121.4943995
8-Oct-16,Brooklyn,New York,4,0,40.6501038,-73.9495822
4-Oct-16,New Orleans,Louisiana,2,3,29.9499323,-90.0701155
3-Oct-16,Minneapolis,Minnesota,4,0,44.9772995,-93.2654691
2-Oct-16,San Antonio,Texas,4,1,29.4246002,-98.4951404
1-Oct-16,Pembroke Township,Illinois,0,4,41.06504,-87.59161
1-Oct-16,Fresno,California,4,0,36.748793,-119.7148396
29-Sep-16,San Francisco,California,3,1,37.7792808,-122.4192362
26-Sep-16,Humble,Texas,4,0,29.9988312,-95.2621552
26-Sep-16,Houston,Texas,6,1,29.7589382,-95.3676973
26-Sep-16,Winston Salem (Winston-salem),North Carolina,4,0,36.0998131,-80.2440517
25-Sep-16,Champaign,Illinois,3,1,40.1164205,-88.2433828
24-Sep-16,Baltimore,Maryland,8,0,39.2908608,-76.6108072
23-Sep-16,Burlington,Washington,0,5,48.4686745,-122.3293924
18-Sep-16,Philadelphia,Pennsylvania,4,0,39.9523993,-75.1635898
18-Sep-16,Lynchburg,Virginia,3,1,37.40088,-79.1844923
18-Sep-16,Pittsburgh,Pennsylvania,4,0,40.4416941,-79.990086
17-Sep-16,Miami,Florida,6,0,25.7742658,-80.1936588
17-Sep-16,Indianapolis,Indiana,2,2,39.7683331,-86.1583501
17-Sep-16,Orlando,Florida,6,1,28.5421175,-81.3790461
17-Sep-16,Washington,District of Columbia,7,2,38.8949549,-77.0366455
16-Sep-16,Los Angeles (Hollywood),California,2,2,34.05223,-118.24368
16-Sep-16,Philadelphia,Pennsylvania,5,2,39.9523993,-75.1635898
14-Sep-16,Houston,Texas,3,1,29.7589382,-95.3676973
13-Sep-16,Fort Wayne,Indiana,2,3,41.0799898,-85.1386014
11-Sep-16,New Orleans,Louisiana,5,1,29.9499323,-90.0701155
11-Sep-16,Kansas City,Missouri,6,0,39.0844687,-94.5630297
11-Sep-16,Fort Wayne,Indiana,1,3,41.0799898,-85.1386014
11-Sep-16,Saginaw,Michigan,5,0,43.4200387,-83.9490364
11-Sep-16,New Bern,North Carolina,5,0,35.1084931,-77.0441142
11-Sep-16,Jersey City,New Jersey,3,1,40.7281575,-74.0776416
10-Sep-16,Miami,Florida,3,1,25.7742658,-80.1936588
8-Sep-16,Austin,Texas,0,4,30.2711286,-97.7436994
8-Sep-16,Hot Springs National Park (Hot Springs),Arkansas,4,1,34.5167562,-93.0529571
5-Sep-16,Reading,Pennsylvania,4,0,40.335345,-75.9279494
5-Sep-16,Chicago,Illinois,3,2,41.8755546,-87.6244211
4-Sep-16,Roanoke,Virginia,10,1,37.270973,-79.9414312
3-Sep-16,Chicago,Illinois,4,0,41.8755546,-87.6244211
3-Sep-16,Wilmington,North Carolina,3,1,34.2257282,-77.9447106
30-Aug-16,Atlanta,Georgia,4,0,33.7490987,-84.3901848
30-Aug-16,Chicago (Englewood),Illinois,4,0,41.7790752,-87.6684426
29-Aug-16,Egg Harbor City,New Jersey,5,1,39.5287282,-74.6479363
29-Aug-16,Temecula,California,0,5,33.4946353,-117.147366
28-Aug-16,Lubbock,Texas,6,0,33.5778631,-101.8551664
28-Aug-16,Saint Louis,Missouri,2,2,38.6272733,-90.1978888
28-Aug-16,Bronx,New York,4,0,40.8527855,-73.8390538
28-Aug-16,Dadeville,Alabama,5,0,32.831238,-85.7635691
27-Aug-16,Miami,Florida,4,2,25.7742658,-80.1936588
27-Aug-16,Bessemer (Brighton),Alabama,6,1,33.43743,-86.9364669
25-Aug-16,Bridgeton,New Jersey,5,0,39.427337,-75.2340767
21-Aug-16,Bridgeport,Connecticut,13,0,41.1670412,-73.2048347
21-Aug-16,Boston,Massachusetts,4,0,42.3604823,-71.0595677
20-Aug-16,Tacoma,Washington,5,0,47.2495798,-122.4398745
20-Aug-16,Hamden,Connecticut,4,0,41.3959287,-72.8968715
20-Aug-16,Citronelle,Alabama,0,5,31.069346,-88.315283
18-Aug-16,Waterbury,Connecticut,4,0,41.5581525,-73.0514965
17-Aug-16,Oakland,California,4,0,37.8044557,-122.2713562
14-Aug-16,Minneapolis,Minnesota,5,0,44.9772995,-93.2654691
14-Aug-16,Norfolk,Virginia,4,0,36.8889933,-76.2481623
13-Aug-16,Milwaukee,Wisconsin,2,2,43.0349931,-87.9224969
13-Aug-16,Los Angeles,California,4,0,34.0543942,-118.2439408
13-Aug-16,Corona (Queens),New York,4,0,40.7469593,-73.8601455
13-Aug-16,Joplin,Missouri,4,0,37.0842271,-94.5132809
12-Aug-16,Jacksonville,Florida,3,1,30.3321838,-81.6556509
12-Aug-16,Dallas,Texas,3,1,32.7620405,-96.7790068
11-Aug-16,Philadelphia,Pennsylvania,4,0,39.9523993,-75.1635898
10-Aug-16,Evanston,Illinois,4,0,42.0447388,-87.6930458
10-Aug-16,Sacramento,California,3,1,38.5815719,-121.4943995
8-Aug-16,Albuquerque,New Mexico,2,2,35.0841034,-106.650985
8-Aug-16,Jacksonville,Florida,7,0,30.3321838,-81.6556509
7-Aug-16,Los Angeles,California,3,1,34.0543942,-118.2439408
7-Aug-16,Arvada,Colorado,2,2,39.8027644,-105.0874841
7-Aug-16,Vicksburg,Mississippi,3,1,32.3528418,-90.8777341
7-Aug-16,Chicago,Illinois,4,0,41.8755546,-87.6244211
6-Aug-16,Reading (Sinking Spring),Pennsylvania,0,5,40.33565,-75.92687
5-Aug-16,Pontiac,Michigan,3,1,42.6389216,-83.2910467
5-Aug-16,Mead Valley,California,2,2,33.8333516,-117.2961511
4-Aug-16,Memphis,Tennessee,4,0,35.1490215,-90.0516284
3-Aug-16,Decatur,Georgia,3,1,33.7737582,-84.2960689
